https://github.com/theopolis/smc-fuzzer with tiny changes

*val.bytes: 0xed010000
*val.bytes: 0x1ed
num: 1ed (4)
  #KEY  [ui32]  237 (bytes 00 00 01 ed)
  MSLC  [ui8 ]  0 (bytes 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSLF  [ui8 ]  0 (bytes 00)
  MSLG  [ui8 ]  0 (bytes 00)
  MSLP  [ui8 ]  0 (bytes 00)
  MSLS  [ui8 ]  4 (bytes 04)
  MSLT  [fp88]  (bytes 15 00)
  MSPA  [fp6a]  (bytes 00 00)
  MSPB  [flag]  (bytes 00)
  MSPC  [ui8 ]  20 (bytes 14)
  MSPE  [ui8 ]  0 (bytes 00)
  MSPI  [ui8 ]  0 (bytes 00)
  MSPM  [ui8 ]  4 (bytes 04)
  MSPS  [ui16]  3 (bytes 00 03)
  MSPT  [ui8 ]  0 (bytes 00 00 00 00 00)
  MSQA  [flag]  (bytes 00)
  MSQC  [ui8 ]  0 (bytes 00)
  MSQF  [flag]  (bytes 00)
  MSQL  [ui8 ]  0 (bytes 00)
  MSQN  [flag]  (bytes 00)
  MSQO  [ui8 ]  120 (bytes 78)
  MSQT  [si16]  (bytes 06 00)
  MSQW  [ui16]  0 (bytes 00 00)
  MSRC  [ui32]  16 (bytes 00 00 00 10)
  MSSD  [si8 ]  (bytes 03)
  MSSF  [ui32]  0 (bytes 00 00 00 00)
  MSSG  [ui32]  0 (bytes 00 00 00 00)
  MSSP  [si8 ]  (bytes 00)
  MSSR  [flag]  (bytes 01)
  MSSS  [{mss]  (bytes 00)
  MST1  [sp87]  (bytes 81 00)
  MST2  [sp87]  (bytes 81 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTS  [ui8 ]  10 (bytes 0a)
  MSTc  [ui8 ]  0 (bytes 00)
  MSTe  [ui8 ]  0 (bytes 00)
  MSTf  [ui8 ]  0 (bytes 00)
  MSTi  [ui8 ]  0 (bytes 00)
  MSTm  [ui8 ]  0 (bytes 00)
  MSWA  [fp6a]  (bytes 04 00)
  MSWE  [ui8 ]  (bytes 00)
  MSWF  [ui16]  232 (bytes 03 e8)
  MSWO  [ui16]  232 (bytes 03 e8)
  MSWP  [ui8 ]  (bytes 00)
  MSWr  [ui8 ]  0 (bytes 00)
  MSXC  [ch8*]  (bytes 00 00 00 00)
  MSXD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXK  [ch8*]  (bytes ef f0 f1 f2 f3 f4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXN  [ui8 ]  38 (bytes 26)
  MSXS  [ch8*]  (bytes 01 02 03 04)
  MSXb  [ui8 ]  0 (bytes 00)
  MSXc  [ch8*]  (bytes 00 00 00 00)
  MSXd  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXk  [ch8*]  (bytes 21 22 23 24 25 26 27 28 29 2a 2b 2c 2d 2e 2f 30 31 32 33 34 dc dd de f0 f1 f2 f3 f4 00 00 00 00)
  MSXm  [ui16]  8 (bytes 00 08)
  MSXn  [ui8 ]  60 (bytes 3c)
  MSXs  [ui32]  4 (bytes 01 02 03 04)
  MSa!  [hex_]  (bytes 00)
  MSac  [ui8 ]  0 (bytes 00)
  MSaf  [ui8 ]  0 (bytes 00)
  MSag  [ui8 ]  0 (bytes 00)
  MSai  [ui8 ]  0 (bytes 00)
  MSam  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  MSci  [ui8 ]  (bytes 00)
  MScr  [hex_]  (bytes 00 00)
  MSei  [ui8 ]  (bytes 00)
  MSer  [hex_]  (bytes 00 00)
  MSii  [ui8 ]  (bytes 00)
  MSir  [hex_]  (bytes 00 00)
  MVDS  [flag]  (bytes 00)
  MVS4  [ui8 ]  0 (bytes 00)
  NACK  [ui8 ]  0 (bytes 00)
  NATJ  [ui8 ]  2 (bytes 02)
  NATi  [ui16]  29 (bytes 00 1d)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  PAPC  [sp78]  (bytes 00 02)
  PBLC  [sp78]  (bytes 04 8a)
  PC0C  [sp96]  (bytes 01 9a)
  PC0R  [sp87]  (bytes 02 2a)
  PC1C  [sp87]  (bytes 00 5d)
  PC2C  [sp87]  (bytes 00 38)
  PC3C  [sp87]  (bytes 00 00)
  PCLT  [sp87]  (bytes 02 31)
  PCPC  [sp87]  (bytes 00 62)
  PCPG  [sp87]  (bytes 00 04)
